date,id,name,y_items,y_actual_cost,x_items,x_actual_cost
2018-07-01,Y62,"NORTH WEST COMMISSIONING REGION",369114,3764704.03,0,0
2018-07-01,Y60,"MIDLANDS COMMISSIONING REGION",433833,5188899.84,0,0
2018-07-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",458260,4360294.54,0,0
2018-08-01,Y58,"SOUTH WEST COMMISSIONING REGION",238066,2726465.71,0,0
2018-08-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",271749,3042246.18,0,0
2018-08-01,Y56,"LONDON COMMISSIONING REGION",275345,3022027.66,0,0
2018-08-01,Y59,"SOUTH EAST COMMISSIONING REGION",319862,4119256.58,0,0
2018-08-01,Y62,"NORTH WEST COMMISSIONING REGION",379345,3973868.25,0,0
2018-08-01,Y60,"MIDLANDS COMMISSIONING REGION",445403,5408956.9,0,0
2018-08-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",475153,4616189.09,0,0
2018-09-01,Y58,"SOUTH WEST COMMISSIONING REGION",224634,2614513.8,0,0
2018-09-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",254959,2884085.41,0,0
2018-09-01,Y56,"LONDON COMMISSIONING REGION",262844,2906781.08,0,0
2018-09-01,Y59,"SOUTH EAST COMMISSIONING REGION",300085,3851365.17,0,0
2018-09-01,Y62,"NORTH WEST COMMISSIONING REGION",350542,3681066.58,0,0
2018-09-01,Y60,"MIDLANDS COMMISSIONING REGION",418225,5074642.55,0,0
2018-09-01,Y63,"NORTH EAST AND YORKSHIRE COMMISSIONING REGION",442733,4329842.63,0,0
2018-10-01,Y58,"SOUTH WEST COMMISSIONING REGION",242375,2655209.61,0,0
2018-10-01,Y61,"EAST OF ENGLAND COMMISSIONING REGION",274593,2979331.76,0,0
2018-10-01,Y56,"LONDON COMMISSIONING REGION",289114,3063904.84,0,0
2018-10-01,Y59,"SOUTH EAST COMMISSIONING REGION",327952,4051354.65,0,0
2018-10-01,Y62,"NORTH WEST COMMISSIONING REGION",387620,3900879.17,0,0
